id;forloebVarighed;virkStartForloebsId;cvr;cvrIndberet;RID;PID;serverTimeStamp;formURL;feltType;feltId;feltNavn;handling
0;0;0;0;0;0;0;2018-01-01T00:37:04.923;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
0;0;0;0;0;0;0;2018-01-01T00:37:30.644;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=1dfaf6a1-a709-4c03-acbf-e02469854658;;;;
0;0;0;0;0;0;0;2018-01-01T00:37:38.753;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=1dfaf6a1-a709-4c03-acbf-e02469854658;;;cvrnummer;blur
0;0;0;0;0;0;0;2018-01-01T00:38:00.913;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=1dfaf6a1-a709-4c03-acbf-e02469854658;;;cvrnummer;focus
1;0;1;0;0;1;0;2018-01-01T13:53:59.989;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
1;0;1;0;0;1;0;2018-01-01T13:54:09.736;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=27788b42-aaba-416c-95ae-8f3c531655df;;;;
1;0;1;0;0;1;0;2018-01-01T13:54:16.986;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=27788b42-aaba-416c-95ae-8f3c531655df;;;cvrnummer;blur
1;0;1;0;0;1;0;2018-01-01T13:54:17.033;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=27788b42-aaba-416c-95ae-8f3c531655df;;;_action_soeg;focus
2;0;2;0;0;1;0;2018-01-01T12:09:39.342;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
2;0;2;0;0;1;0;2018-01-01T12:09:48.331;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=63c2630b-3c57-4f9e-811c-c274039de779;;;;
3;0;3;0;0;1;0;2018-01-01T13:10:05.213;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
3;0;3;0;0;1;0;2018-01-01T13:10:06.008;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=370624dd-4848-4e12-8277-7d29a073e278;;;;
3;0;3;0;0;1;0;2018-01-01T13:10:10.135;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=370624dd-4848-4e12-8277-7d29a073e278;;;cvrnummer;blur
3;0;3;0;0;1;0;2018-01-01T13:10:10.142;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=370624dd-4848-4e12-8277-7d29a073e278;;;_action_soeg;focus
4;0;0;0;1;0;0;2018-01-01T09:21:15.723;https://erst.virk.dk/aendringer/X17-BM-21-YN/overblik/index;;;;
4;0;0;0;1;0;0;2018-01-01T09:21:35.603;https://erst.virk.dk/aendringer/X17-BM-21-YN/opsummering/index;;;;
4;0;0;0;1;0;0;2018-01-01T09:22:15.220;https://erst.virk.dk/aendringer/X17-BM-21-YN/opsummering/index;;;Begrundelse for godkendelse *;focus
4;0;0;0;1;0;0;2018-01-01T09:22:26.417;https://erst.virk.dk/aendringer/X17-BM-21-YN/opsummering/index;;;Begrundelse for godkendelse *;blur
4;0;0;0;1;0;0;2018-01-01T09:22:26.423;https://erst.virk.dk/aendringer/X17-BM-21-YN/opsummering/index;;;_action_sagsbehandlerGodkend;focus
4;0;0;0;1;0;0;2018-01-01T09:22:31.612;https://erst.virk.dk/aendringer/X17-BM-21-YN/opsummering/index;;;_action_sagsbehandlerGodkend;blur
5;0;5;0;0;0;0;2018-01-01T09:35:23.383;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
5;0;5;0;0;0;0;2018-01-01T09:35:23.855;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;;
5;0;5;0;0;0;0;2018-01-01T09:35:28.597;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;blur
5;0;5;0;0;0;0;2018-01-01T09:45:38.701;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;focus
5;0;5;0;0;0;0;2018-01-01T09:45:39.564;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;blur
5;0;5;0;0;0;0;2018-01-01T09:47:18.297;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;focus
5;0;5;0;0;0;0;2018-01-01T09:47:20.986;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;blur
5;0;5;0;0;0;0;2018-01-01T09:47:23.259;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;focus
5;0;5;0;0;0;0;2018-01-01T09:47:46.472;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;blur
5;0;5;0;0;0;0;2018-01-01T09:48:35.522;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;focus
5;0;5;0;0;0;0;2018-01-01T09:49:11.802;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;cvrnummer;blur
5;0;5;0;0;0;0;2018-01-01T09:49:11.899;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=e7a3dcc0-d777-4947-bee4-24cf8db6bd86;;;_action_soeg;focus
6;0;6;0;0;1;0;2018-01-01T10:23:41.170;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
6;0;6;0;0;1;0;2018-01-01T10:24:26.150;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=6f544a17-2d00-4a7a-8a6a-06afb5dd5e9f;;;;
7;0;7;0;0;1;0;2018-01-01T10:26:52.470;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
7;0;7;0;0;1;0;2018-01-01T10:26:52.948;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=b9c0b3ca-b7c6-439f-b017-f3070ea1a341;;;;
7;0;7;0;0;1;0;2018-01-01T10:27:11.785;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=b9c0b3ca-b7c6-439f-b017-f3070ea1a341;;;_action_soeg;focus
7;0;7;0;0;1;0;2018-01-01T10:27:11.835;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=b9c0b3ca-b7c6-439f-b017-f3070ea1a341;;;cvrnummer;blur
8;0;8;0;0;1;0;2018-01-01T10:24:05.048;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
8;0;8;0;0;1;0;2018-01-01T10:25:03.588;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=376eb19e-44a7-477c-bf76-823adeed8e63;;;;
8;0;8;0;0;1;0;2018-01-01T10:25:15.627;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=376eb19e-44a7-477c-bf76-823adeed8e63;;;cvrnummer;blur
8;0;8;0;0;1;0;2018-01-01T10:26:18.039;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=376eb19e-44a7-477c-bf76-823adeed8e63;;;;
9;0;9;0;0;0;0;2018-01-01T11:30:39.572;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
9;0;9;0;0;0;0;2018-01-01T11:30:55.796;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=5a40b078-5951-4481-afa3-68cfead57429;;;;
9;0;9;0;0;0;0;2018-01-01T11:31:02.187;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=5a40b078-5951-4481-afa3-68cfead57429;;;cvrnummer;blur
9;0;9;0;0;0;0;2018-01-01T11:31:07.563;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=5a40b078-5951-4481-afa3-68cfead57429;;;cvrnummer;focus
9;0;9;0;0;0;0;2018-01-01T11:31:08.844;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=5a40b078-5951-4481-afa3-68cfead57429;;;cvrnummer;blur
10;0;10;0;0;1;0;2018-01-01T11:31:12.137;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
10;0;10;0;0;1;0;2018-01-01T11:32:05.680;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=11269504-6cbe-4f26-bca1-7a8d8c066fa5;;;;
11;0;11;0;0;1;0;2018-01-01T11:36:53.665;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
11;0;11;0;0;1;0;2018-01-01T11:37:10.552;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=56a6b570-601f-47e5-b2fa-b03413c100e6;;;;
12;0;12;0;0;0;0;2018-01-01T11:35:12.330;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
12;0;12;0;0;0;0;2018-01-01T11:35:14.380;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=21a68fd7-13d3-484f-be90-b816b4abdc5d;;;;
12;0;12;0;0;0;0;2018-01-01T11:35:36.628;https://erst.virk.dk/virksomhedsregistrering/aendring/?formularId=30184&forloebId=21a68fd7-13d3-484f-be90-b816b4abdc5d;;;cvrnummer;blur
12;0;12;0;0;1;0;2018-01-01T11:37:13.456;https://erst.virk.dk/virksomhedsregistrering/aendring/index?formularId=30184&forloebId=56a6b570-601f-47e5-b2fa-b03413c100e6;;;cvrnummer;blur
13;0;13;0;0;0;0;2018-01-01T13:33:11.433;https://erst.virk.dk/virksomhedsregistrering/aendring/;;;;
